Experiment Name:,Exp_20231117_2,,,
,,,,
Tube Name:,Sample ID:,DAPI- NHLFs Mean APC-A,,CellROX
01-Well-A1 Blank,,6.5,,
01-Well-A2 DMSO,,4315.2,,
01-Well-A3,,4252.7,,
01-Well-A4,,4019.3,,
01-Well-A5,,4200.7,,
01-Well-B1 TGFb 1h,,3851,,
01-Well-B2,,3087.7,,
01-Well-B3,,3153.8,,
01-Well-B4,,3112.7,,
01-Well-B5 TGFb 3h,,4352.7,,
01-Well-B6,,4070.3,,
01-Well-B7,,3758.1,,
01-Well-B8,,3875.5,,
01-Well-C1 TGFb+AZD 1h,,3221.4,,
01-Well-C2,,3308,,
01-Well-C3,,2918,,
01-Well-C4,,3026,,
01-Well-C5 TGFb+AZD3h,,3478.4,,
01-Well-C6,,3717.6,,
01-Well-C7,,3570.3,,
01-Well-C8,,3310.4,,
01-Well-D1 TGFb+VB 1h,,2960.3,,
01-Well-D2,,2864.3,,
01-Well-D3,,2878.8,,
01-Well-D4,,3015.8,,
01-Well-D5 TGFb+VB 3h,,3571.9,,
01-Well-D6,,3237.8,,
01-Well-D7,,3247.8,,
01-Well-D8,,3624.1,,
01-Well-E1 TGFb+AZDVB 1h,,3147.8,,
01-Well-E2,,3090.3,,
01-Well-E3,,3017.4,,
01-Well-E4,,2994.2,,
01-Well-E5 TGFb+AZDVB 3h,,3081.8,,
01-Well-E6,,3299.5,,
01-Well-E7,,3070.9,,
01-Well-E8,,2941.1,,
